516	50	1
90	53	1
281	53	1
558	55	1
320	61	1
197	64	1
593	70	1
158	74	1
636	77	1
46	84	1
101	85	1
230	88	1
444	92	1
290	92	1
124	98	1
389	100	1
588	100	1
336	103	1
521	105	1
176	113	1
628	114	1
83	123	1
488	129	1
428	133	1
344	134	1
111	143	1
58	151	1
565	150	1
287	154	1
215	164	1
515	167	1
371	172	1
621	176	1
448	177	1
260	185	1
408	188	1
184	191	1
572	191	1
126	194	1
512	198	1
43	199	1
83	201	1
317	202	1
595	215	1
166	225	1
463	225	1
212	231	1
334	232	1
275	236	1
544	237	1
38	243	1
392	244	1
93	249	1
612	260	1
487	264	1
171	266	1
361	267	1
560	268	1
290	278	1
39	278	1
115	290	1
435	302	1
349	304	1
554	312	1
193	312	1
255	312	1
296	320	1
136	321	1
606	323	1
367	332	1
55	333	1
418	341	1
497	352	1
530	351	1
614	355	1
564	358	1
108	358	1
165	360	1
350	362	1
295	374	1
226	375	1
54	386	1
519	389	1
413	391	1
559	391	1
290	402	1
456	404	1
239	408	1
342	412	1
622	411	1
588	418	1
158	422	1
474	425	1
75	432	1
631	441	1
501	444	1
546	443	1
426	449	1
379	450	1
284	458	1
338	464	1
205	474	1
442	478	1
239	479	1
112	481	1
576	484	1
634	486	1
334	489	1
501	500	1
107	511	1
457	515	1
158	517	1
296	518	1
573	520	1
624	523	1
211	522	1
372	527	1
554	534	1
520	541	1
70	545	1
256	546	1
356	550	1
548	559	1
205	564	1
581	566	1
620	572	1
427	588	1
347	595	1
165	598	1
72	44	2
304	50	2
194	53	2
540	54	2
344	58	2
602	63	2
146	73	2
70	80	2
463	80	2
414	80	2
42	83	2
268	90	2
400	95	2
524	98	2
369	105	2
393	105	2
235	108	2
324	109	2
69	111	2
182	109	2
462	110	2
126	111	2
601	115	2
240	122	2
492	127	2
531	130	2
622	132	2
358	135	2
120	138	2
338	142	2
153	145	2
591	145	2
52	145	2
90	146	2
204	150	2
440	152	2
282	155	2
610	159	2
288	160	2
415	163	2
358	172	2
561	176	2
528	180	2
468	185	2
175	189	2
105	190	2
241	192	2
224	194	2
214	204	2
340	204	2
293	208	2
124	214	2
503	215	2
457	221	2
49	228	2
73	230	2
139	233	2
640	233	2
325	234	2
274	240	2
404	239	2
590	240	2
527	243	2
631	246	2
92	250	2
47	251	2
376	258	2
155	261	2
539	263	2
483	268	2
201	271	2
280	270	2
368	275	2
459	277	2
40	283	2
394	282	2
339	291	2
104	290	2
454	291	2
559	303	2
118	303	2
206	310	2
512	314	2
360	313	2
445	313	2
157	315	2
248	320	2
602	323	2
124	330	2
303	328	2
70	334	2
312	338	2
377	342	2
405	352	2
620	352	2
83	354	2
126	356	2
550	355	2
363	359	2
490	360	2
553	373	2
581	374	2
419	377	2
251	382	2
368	382	2
301	383	2
173	390	2
590	390	2
630	394	2
182	396	2
418	395	2
110	396	2
455	404	2
483	405	2
52	408	2
478	407	2
370	414	2
515	422	2
266	425	2
113	427	2
588	430	2
243	433	2
363	434	2
619	440	2
148	444	2
466	444	2
278	450	2
200	453	2
58	455	2
422	458	2
538	461	2
488	463	2
599	464	2
226	465	2
345	466	2
334	474	2
142	475	2
569	476	2
527	477	2
93	480	2
55	479	2
431	480	2
618	485	2
188	486	2
163	492	2
261	493	2
384	497	2
581	497	2
286	509	2
50	515	2
109	518	2
607	520	2
242	521	2
461	522	2
525	521	2
341	525	2
155	526	2
489	530	2
589	533	2
429	535	2
557	542	2
634	542	2
222	547	2
424	558	2
104	559	2
291	559	2
346	560	2
337	562	2
479	562	2
45	564	2
546	565	2
282	570	2
147	574	2
597	580	2
70	584	2
576	584	2
82	589	2
406	597	2
497	598	2
358	601	2
548	602	2
